               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083723,             0.06313,                   0,             0.46057,             0.56079,             0.50282,             0.19649,            0.054625,            0.033799,                   0,            0.070306,           0.0032993,           0.0032993
                   1,            0.053778,            0.052117,                   0,             0.61267,             0.66253,             0.69686,             0.33909,              0.0428,            0.026104,                   0,            0.040197,           0.0065232,           0.0065232
                   2,            0.048475,            0.048513,                   0,             0.74753,             0.77144,             0.83308,             0.42202,            0.036038,            0.025806,                   0,           0.0099772,           0.0096371,           0.0096371
                   3,            0.042029,            0.046309,                   0,             0.83446,             0.81886,             0.88324,             0.49328,            0.033957,            0.024086,                   0,            0.009505,            0.009505,            0.009505
                   4,              0.0361,            0.042825,                   0,             0.87099,             0.86849,             0.92499,             0.56198,            0.031015,            0.022567,                   0,            0.009505,            0.009505,            0.009505
                   5,             0.03299,            0.043623,                   0,             0.88277,             0.87841,             0.92419,             0.58629,            0.028569,            0.022531,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.031968,            0.042981,                   0,             0.94054,             0.83375,             0.92763,             0.62599,            0.027744,            0.021273,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.030109,             0.04062,                   0,             0.90253,              0.8961,             0.94585,             0.61088,            0.025665,            0.021507,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.029303,            0.040405,                   0,             0.92212,             0.85198,             0.93775,             0.63358,            0.025883,            0.022326,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.027773,            0.039569,                   0,             0.91231,              0.8933,             0.95305,             0.64899,             0.02633,            0.020491,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.027205,            0.039232,                   0,             0.89198,             0.90157,             0.94673,             0.65844,            0.024666,            0.020944,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.026271,            0.037711,                   0,             0.91612,             0.86724,             0.94369,             0.65847,            0.024694,            0.020711,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.025867,            0.037203,                   0,             0.93517,             0.88089,             0.94482,             0.67247,            0.023733,            0.020476,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.025831,            0.036506,                   0,              0.9135,             0.90819,             0.95809,              0.7008,            0.021921,            0.019579,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.024548,            0.036783,                   0,             0.94957,             0.88773,               0.961,             0.70024,            0.022311,            0.019733,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.023955,            0.036072,                   0,             0.90752,             0.90323,              0.9557,              0.6897,            0.022618,            0.020036,                   0,             0.00769,             0.00769,             0.00769
                  16,             0.02276,             0.03524,                   0,             0.93983,             0.88834,             0.95982,             0.68393,            0.023483,            0.019606,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.023147,            0.034363,                   0,             0.93067,             0.89578,             0.95945,             0.72218,            0.022185,            0.019233,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.022835,            0.034921,                   0,             0.92072,             0.92216,             0.96101,              0.7156,            0.021192,            0.019124,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.022671,             0.03522,                   0,             0.92474,             0.93052,             0.96103,             0.71353,            0.021037,            0.019271,                   0,             0.00703,             0.00703,             0.00703
                  20,            0.021624,            0.033623,                   0,             0.91214,              0.9274,              0.9567,             0.71212,            0.020899,            0.019364,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.021619,            0.033814,                   0,             0.92815,             0.89757,             0.95344,             0.72088,             0.02107,            0.019208,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.021934,            0.033999,                   0,             0.92104,             0.92628,             0.95972,             0.72759,            0.019978,            0.018769,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.021208,            0.032735,                   0,             0.93285,             0.92556,             0.96212,             0.71993,            0.020349,            0.018832,                   0,             0.00637,             0.00637,             0.00637
