epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8045,1.54842,2.77081,1.36486,0.00773,0.94231,0.71847,0.41003,1.28906,3.13089,1.28684,0.000651852,0.000651852,0.000651852
2,112.944,1.47281,1.90306,1.31307,0.77903,0.63462,0.77401,0.47683,1.3041,2.57904,1.2897,0.00129241,0.00129241,0.00129241
3,180.625,1.46148,1.61809,1.28718,0.79312,0.80769,0.8433,0.35584,1.90478,2.72295,1.66455,0.00190657,0.00190657,0.00190657
4,248.775,1.54498,1.54905,1.33388,0.86919,0.89455,0.94012,0.53575,1.55045,1.52956,1.31961,0.0018812,0.0018812,0.0018812
5,313.464,1.35668,1.31315,1.25633,0.92582,0.96001,0.9734,0.55874,1.50646,1.26155,1.33336,0.0018416,0.0018416,0.0018416
6,379.756,1.34621,1.20437,1.24152,0.94741,0.75,0.88054,0.49955,1.82853,1.15952,1.66471,0.001802,0.001802,0.001802
7,445.485,1.31389,1.12518,1.22414,0.87734,0.86538,0.89364,0.5152,1.83342,1.20132,1.74258,0.0017624,0.0017624,0.0017624
8,511.598,1.2434,1.05041,1.17325,0.86925,0.84615,0.90296,0.48798,1.48346,1.43913,1.42997,0.0017228,0.0017228,0.0017228
9,577.095,1.22266,0.98843,1.16988,0.93943,0.89489,0.93767,0.59077,1.51176,1.03347,1.37262,0.0016832,0.0016832,0.0016832
10,635.959,1.26953,0.94243,1.18903,0.79412,0.74185,0.82617,0.3736,2.10733,1.33309,1.7685,0.0016436,0.0016436,0.0016436
11,688.522,1.18265,0.90827,1.15806,0.96062,0.93829,0.9723,0.5665,1.27146,0.78364,1.21025,0.001604,0.001604,0.001604
12,758.51,1.19791,0.92286,1.1672,0.96396,0.96154,0.98536,0.5652,1.55818,0.86384,1.42885,0.0015644,0.0015644,0.0015644
13,834.375,1.1959,0.85533,1.15138,0.98027,0.95547,0.98692,0.56697,1.23708,0.79934,1.25107,0.0015248,0.0015248,0.0015248
14,930.473,1.1747,0.83995,1.16349,0.97616,0.96154,0.9714,0.56737,1.63617,0.7415,1.52455,0.0014852,0.0014852,0.0014852
15,1025.16,1.13023,0.81304,1.12424,0.9678,0.92308,0.97189,0.49947,1.65051,0.77771,1.51088,0.0014456,0.0014456,0.0014456
16,1116.57,1.11089,0.74532,1.09826,0.97971,0.92855,0.98244,0.55141,1.35128,0.78332,1.26238,0.001406,0.001406,0.001406
17,1215.56,1.09321,0.77676,1.10568,0.8933,0.96604,0.96842,0.59413,1.46649,0.74176,1.27525,0.0013664,0.0013664,0.0013664
18,1309.87,1.05445,0.74814,1.10534,0.93952,0.96154,0.97536,0.60298,1.56139,0.72229,1.33627,0.0013268,0.0013268,0.0013268
19,1404.9,1.01225,0.71878,1.07167,0.94171,0.98077,0.98182,0.57268,1.66474,0.76321,1.36165,0.0012872,0.0012872,0.0012872
20,1504.29,1.03897,0.71915,1.08374,0.98031,0.95769,0.97644,0.57413,1.57059,0.83911,1.35312,0.0012476,0.0012476,0.0012476
21,1602.88,1.01399,0.68289,1.07604,0.96401,0.94231,0.98323,0.58626,1.54418,0.73498,1.34307,0.001208,0.001208,0.001208
22,1700.42,1.03454,0.69179,1.08666,0.96064,0.9387,0.9804,0.57532,1.30561,0.63656,1.25902,0.0011684,0.0011684,0.0011684
23,1788.46,0.98586,0.67844,1.0667,0.94313,0.98077,0.97855,0.61014,1.3222,0.69532,1.29489,0.0011288,0.0011288,0.0011288
24,1880.83,0.99242,0.70797,1.0622,0.97271,0.94231,0.98249,0.62882,1.43887,0.62198,1.24979,0.0010892,0.0010892,0.0010892
25,1977.36,0.93525,0.62548,1.02711,0.9807,0.97723,0.98242,0.62292,1.41108,0.6186,1.27318,0.0010496,0.0010496,0.0010496
26,2071.64,0.98301,0.62885,1.06116,0.9599,0.96154,0.97905,0.60251,1.47948,0.62716,1.28967,0.00101,0.00101,0.00101
27,2168.41,0.99539,0.64749,1.04714,0.95928,0.96154,0.97088,0.61401,1.57,0.62385,1.46382,0.0009704,0.0009704,0.0009704
28,2264.78,0.93582,0.62041,1.03872,0.94192,0.93571,0.96732,0.58114,1.67074,0.67611,1.3773,0.0009308,0.0009308,0.0009308
29,2352.14,0.93187,0.62997,1.03761,0.92314,0.96154,0.97205,0.5821,1.53232,0.65094,1.287,0.0008912,0.0008912,0.0008912
30,2446.7,0.94258,0.65913,1.04776,0.97001,0.96154,0.98478,0.63503,1.29299,0.59031,1.19621,0.0008516,0.0008516,0.0008516
31,2543.56,0.91436,0.60638,1.03309,0.93891,0.96154,0.97525,0.61138,1.32233,0.64297,1.22467,0.000812,0.000812,0.000812
32,2639.11,0.87569,0.56952,1.01383,0.95605,0.98077,0.98178,0.61442,1.29198,0.61807,1.22958,0.0007724,0.0007724,0.0007724
33,2737.24,0.88354,0.56161,1.01924,0.97689,0.94231,0.98037,0.622,1.29122,0.57504,1.25861,0.0007328,0.0007328,0.0007328
34,2834.09,0.89412,0.56161,1.01492,0.96134,0.95656,0.98643,0.637,1.4231,0.56499,1.2331,0.0006932,0.0006932,0.0006932
35,2931.05,0.85413,0.5352,0.98917,0.96223,0.9799,0.98936,0.65217,1.3461,0.56004,1.24373,0.0006536,0.0006536,0.0006536
36,3030.75,0.83795,0.53759,1.01376,0.97978,0.98077,0.97856,0.62007,1.44003,0.55717,1.27112,0.000614,0.000614,0.000614
37,3129.76,0.83021,0.51722,0.9842,0.98073,0.97867,0.97666,0.61606,1.46858,0.61245,1.29059,0.0005744,0.0005744,0.0005744
38,3226.43,0.83645,0.53705,0.99288,0.96217,0.97841,0.98526,0.62393,1.4669,0.62138,1.27909,0.0005348,0.0005348,0.0005348
39,3327.24,0.81324,0.51085,1.00188,0.96222,0.97966,0.98613,0.6214,1.43646,0.5898,1.24586,0.0004952,0.0004952,0.0004952
40,3418.65,0.84092,0.51272,1.00481,0.95997,0.98077,0.98398,0.62398,1.4791,0.55367,1.2912,0.0004556,0.0004556,0.0004556
41,3514.39,0.81226,0.49408,1.00285,0.96203,0.98077,0.98765,0.6256,1.53909,0.53252,1.3268,0.000416,0.000416,0.000416
42,3616.06,0.82357,0.49172,1.0189,0.98071,0.97767,0.98781,0.61465,1.50683,0.53498,1.30496,0.0003764,0.0003764,0.0003764
43,3716.19,0.77372,0.43649,0.984,0.97606,0.98077,0.98593,0.6284,1.53405,0.53902,1.32893,0.0003368,0.0003368,0.0003368
44,3815.39,0.76575,0.4484,0.99215,0.98071,0.97768,0.98624,0.62718,1.48979,0.5053,1.29083,0.0002972,0.0002972,0.0002972
45,3914.6,0.72169,0.44577,0.97718,0.98074,0.97936,0.98717,0.63368,1.51492,0.52344,1.29816,0.0002576,0.0002576,0.0002576
46,4015.75,0.72203,0.42846,0.96753,0.95808,0.98077,0.98635,0.62403,1.55652,0.53944,1.34157,0.000218,0.000218,0.000218
47,4112.93,0.6961,0.40356,0.95871,0.96219,0.97874,0.98846,0.6289,1.55031,0.54792,1.33811,0.0001784,0.0001784,0.0001784
48,4209.09,0.70635,0.4202,0.95564,0.96216,0.97803,0.98732,0.63549,1.5064,0.54881,1.3151,0.0001388,0.0001388,0.0001388
49,4277.56,0.69689,0.39281,0.94003,0.98033,0.95842,0.98809,0.62789,1.53046,0.5394,1.33104,9.92e-05,9.92e-05,9.92e-05
50,4354.24,0.70472,0.39966,0.96472,0.98034,0.95881,0.98719,0.62757,1.53111,0.53965,1.33208,5.96e-05,5.96e-05,5.96e-05
